Date,year,month,day,ozone,AOD,RD
170108,2017,1,8,255.023,0.041,10.44
170109,2017,1,9,259.6,0.072,9.44
170110,2017,1,10,255.023,0.018,9.15
170111,2017,1,11,259.633,0.072,9.85
170112,2017,1,12,255.023,0.134,10.0
170206,2017,2,6,239.511,0.026,9.46
170210,2017,2,10,243.333,0.041,9.29
170226,2017,2,26,247.2,0.041,10.25
170503,2017,5,3,294.833,0.026,9.19
170519,2017,5,19,287.1,0.134,10.79
170612,2017,6,12,283.44,0.018,9.17
170623,2017,6,23,283.489,0.012,9.06
170723,2017,7,23,293.856,0.026,9.36
170813,2017,8,13,287.667,0.014,9.17
170815,2017,8,15,284.181,0.072,9.95
170816,2017,8,16,286.867,0.072,9.51
171103,2017,11,3,254.882,0.134,10.55
171106,2017,11,6,254.882,0.041,10.07
171115,2017,11,15,254.882,0.072,9.79
171204,2017,12,4,259.267,0.165,10.42
180108,2018,1,8,255.023,0.072,10.31
180110,2018,1,10,249.556,0.072,9.57
180114,2018,1,14,306.767,0.072,10.93
180120,2018,1,20,255.023,0.134,10.14
180216,2018,2,16,259.424,0.134,9.16
180302,2018,3,2,273.379,0.072,10.35
180416,2018,4,16,286.4,0.018,9.18
180417,2018,4,17,265.811,0.134,9.09
180418,2018,4,18,285.2,0.258,10.55
180501,2018,5,1,291.267,0.041,9.91
180516,2018,5,16,287.812,0.041,9.64
180518,2018,5,18,292.011,0.041,10.2
180525,2018,5,25,282.011,0.041,9.09
180529,2018,5,29,279.433,0.072,10.45
180530,2018,5,30,287.812,0.196,9.05
180601,2018,6,1,277.111,0.382,10.26
180602,2018,6,2,291.667,0.072,10.01
180603,2018,6,3,289.289,0.072,10.8
180604,2018,6,4,281.411,0.041,9.1
180605,2018,6,5,291.533,0.018,9.26
180608,2018,6,8,275.878,0.012,9.04
180702,2018,7,2,295.733,0.018,9.09
180703,2018,7,3,302.1,0.134,9.35
180715,2018,7,15,306.733,0.026,9.24
180716,2018,7,16,304.144,0.134,10.66
180717,2018,7,17,287.236,0.041,9.16
180718,2018,7,18,290.967,0.041,9.05
180719,2018,7,19,287.236,0.026,9.45
180720,2018,7,20,291.4,0.072,10.53
180721,2018,7,21,292.911,0.072,9.16
180722,2018,7,22,297.656,0.072,9.05
180729,2018,7,29,286.922,0.072,10.56
180810,2018,8,10,295.467,0.041,9.46
180816,2018,8,16,317.65,0.041,9.64
180817,2018,8,17,296.222,0.041,9.3
180818,2018,8,18,284.181,0.072,9.18
180825,2018,8,25,284.181,0.026,9.45
180828,2018,8,28,287.067,0.041,9.53
181028,2018,10,28,260.191,0.072,9.17
181029,2018,10,29,256.0,0.103,9.66
181030,2018,10,30,260.191,0.072,9.27
181103,2018,11,3,272.611,0.072,9.78
181106,2018,11,6,254.882,0.072,9.77
181201,2018,12,1,253.601,0.041,9.78
181202,2018,12,2,229.878,0.018,9.07
181227,2018,12,27,253.601,0.072,10.95
190121,2019,1,21,255.023,0.041,9.91
190122,2019,1,22,245.889,0.32,10.41
190124,2019,1,24,258.456,0.072,10.26
190128,2019,1,28,255.023,0.026,9.21
190129,2019,1,29,258.578,0.072,9.35
190207,2019,2,7,250.422,0.258,10.76
190213,2019,2,13,259.424,0.072,10.19
190220,2019,2,20,246.233,0.072,10.48
190224,2019,2,24,259.424,0.134,9.46
190227,2019,2,27,238.9,0.258,9.28
190302,2019,3,2,245.2,0.444,10.47
190411,2019,4,11,262.889,0.258,10.92
190413,2019,4,13,307.5,0.072,9.08
190414,2019,4,14,278.056,0.134,9.72
190418,2019,4,18,275.2,0.072,10.14
190419,2019,4,19,283.622,0.072,10.13
190420,2019,4,20,273.0,0.165,9.88
190421,2019,4,21,276.933,0.32,10.27
190425,2019,4,25,278.989,0.041,9.38
190427,2019,4,27,271.844,0.32,9.08
190428,2019,4,28,276.389,0.289,10.33
190501,2019,5,1,287.812,0.258,9.56
190508,2019,5,8,287.812,0.072,9.77
190518,2019,5,18,274.367,0.165,9.98
190519,2019,5,19,272.967,0.444,9.26
190520,2019,5,20,285.667,0.444,9.64
190522,2019,5,22,285.522,0.444,9.26
190529,2019,5,29,267.722,0.32,10.64
190606,2019,6,6,277.411,0.072,10.01
190607,2019,6,7,272.711,0.072,10.81
190706,2019,7,6,287.236,0.072,9.37
190708,2019,7,8,302.356,0.072,10.98
190709,2019,7,9,289.978,0.072,9.15
190710,2019,7,10,285.667,0.072,9.27
190719,2019,7,19,299.622,0.072,10.52
190720,2019,7,20,287.236,0.072,10.88
190721,2019,7,21,290.4,0.072,9.37
190728,2019,7,28,283.633,0.072,10.43
190730,2019,7,30,275.333,0.165,9.84
190731,2019,7,31,284.878,0.072,10.67
190801,2019,8,1,280.5,0.072,10.9
190808,2019,8,8,278.133,0.134,10.02
190809,2019,8,9,287.0,0.072,9.91
190810,2019,8,10,285.889,0.134,9.22
190811,2019,8,11,279.5,0.134,9.22
190812,2019,8,12,284.181,0.165,10.15
190813,2019,8,13,284.333,0.134,9.7
190814,2019,8,14,281.078,0.196,9.71
190815,2019,8,15,281.689,0.258,9.47
190816,2019,8,16,288.133,0.165,10.09
190817,2019,8,17,285.089,0.196,9.26
190818,2019,8,18,295.167,0.196,10.61
190819,2019,8,19,333.467,0.289,10.16
190826,2019,8,26,276.911,0.072,9.38
190829,2019,8,29,276.333,0.134,10.15
